Message ID, CreationTime [μs]  , ReceiveTime [μs] , TimeDifference [μs]
354, 6003540, 6012376, 8836
355, 6003550, 6012389, 8839
356, 6003560, 6012402, 8842
357, 6003570, 6012415, 8845
358, 6003580, 6012428, 8848
359, 6003590, 6012442, 8852
360, 6003600, 6016012, 12412
361, 6003610, 6016025, 12415
362, 6003620, 6016038, 12418
363, 6003630, 6016051, 12421
364, 6003640, 6016065, 12425
365, 6003650, 6016078, 12428
366, 6003660, 6016091, 12431
367, 6003670, 6016104, 12434
368, 6003680, 6016117, 12437
369, 6003690, 6016131, 12441
370, 6003700, 6016144, 12444
371, 6003710, 6016157, 12447
372, 6003720, 6016170, 12450
373, 6003730, 6016183, 12453
374, 6003740, 6016197, 12457
375, 6003750, 6016210, 12460
376, 6003760, 6016223, 12463
377, 6003770, 6016236, 12466
378, 6003780, 6016249, 12469
379, 6003790, 6016263, 12473
380, 6003800, 6016276, 12476
381, 6003810, 6016289, 12479
382, 6003820, 6016302, 12482
383, 6003830, 6016315, 12485
384, 6003840, 6016329, 12489
385, 6003850, 6016342, 12492
386, 6003860, 6016355, 12495
387, 6003870, 6016368, 12498
388, 6003880, 6016381, 12501
389, 6003890, 6016395, 12505
390, 6003900, 6016408, 12508
391, 6003910, 6016421, 12511
392, 6003920, 6016434, 12514
393, 6003930, 6016447, 12517
394, 6003940, 6016461, 12521
395, 6003950, 6016474, 12524
396, 6003960, 6016487, 12527
397, 6003970, 6016500, 12530
398, 6003980, 6016513, 12533
399, 6003990, 6016527, 12537
400, 6004000, 6016553, 12553
401, 6004010, 6016566, 12556
402, 6004020, 6016580, 12560
403, 6004030, 6016593, 12563
404, 6004040, 6016606, 12566
405, 6004050, 6016619, 12569
406, 6004060, 6016632, 12572
407, 6004070, 6016646, 12576
408, 6004080, 6016659, 12579
409, 6004090, 6016672, 12582
410, 6004100, 6016685, 12585
411, 6004110, 6016698, 12588
412, 6004120, 6016712, 12592
413, 6004130, 6016725, 12595
414, 6004140, 6016738, 12598
415, 6004150, 6016751, 12601
416, 6004160, 6016764, 12604
417, 6004170, 6016778, 12608
418, 6004180, 6016791, 12611
419, 6004190, 6016804, 12614
420, 6004200, 6016817, 12617
421, 6004210, 6016830, 12620
422, 6004220, 6016844, 12624
423, 6004230, 6016857, 12627
424, 6004240, 6016870, 12630
425, 6004250, 6016883, 12633
426, 6004260, 6016896, 12636
427, 6004270, 6016910, 12640
428, 6004280, 6016923, 12643
429, 6004290, 6016936, 12646
430, 6004300, 6016949, 12649
431, 6004310, 6016962, 12652
432, 6004320, 6016976, 12656
433, 6004330, 6016989, 12659
434, 6004340, 6017002, 12662
435, 6004350, 6017015, 12665
436, 6004360, 6017028, 12668
437, 6004370, 6017042, 12672
438, 6004380, 6017055, 12675
439, 6004390, 6017068, 12678
440, 6004400, 6017081, 12681
441, 6004410, 6017094, 12684
442, 6004420, 6017108, 12688
443, 6004430, 6017121, 12691
444, 6004440, 6017134, 12694
445, 6004450, 6017147, 12697
446, 6004460, 6017160, 12700
447, 6004470, 6017174, 12704
448, 6004480, 6017187, 12707
449, 6004490, 6017200, 12710
450, 6004500, 6017227, 12727
451, 6004510, 6017240, 12730
452, 6004520, 6017253, 12733
453, 6004530, 6017266, 12736
454, 6004540, 6017280, 12740
455, 6004550, 6017293, 12743
456, 6004560, 6017306, 12746
457, 6004570, 6017319, 12749
458, 6004580, 6017332, 12752
459, 6004590, 6017346, 12756
460, 6004600, 6017359, 12759
461, 6004610, 6017372, 12762
462, 6004620, 6017385, 12765
463, 6004630, 6017398, 12768
464, 6004640, 6017412, 12772
465, 6004650, 6017425, 12775
466, 6004660, 6017438, 12778
467, 6004670, 6017451, 12781
468, 6004680, 6017464, 12784
469, 6004690, 6017478, 12788
470, 6004700, 6017491, 12791
471, 6004710, 6017504, 12794
472, 6004720, 6017517, 12797
473, 6004730, 6017530, 12800
474, 6004740, 6017544, 12804
475, 6004750, 6017557, 12807
476, 6004760, 6017570, 12810
477, 6004770, 6017583, 12813
478, 6004780, 6017596, 12816
479, 6004790, 6017610, 12820
480, 6004800, 6017623, 12823
481, 6004810, 6017636, 12826
482, 6004820, 6017649, 12829
483, 6004830, 6017662, 12832
484, 6004840, 6017676, 12836
485, 6004850, 6017689, 12839
486, 6004860, 6017702, 12842
487, 6004870, 6017715, 12845
488, 6004880, 6017728, 12848
489, 6004890, 6017742, 12852
490, 6004900, 6017755, 12855
491, 6004910, 6017768, 12858
492, 6004920, 6017781, 12861
493, 6004930, 6017794, 12864
494, 6004940, 6017808, 12868
495, 6004950, 6017821, 12871
496, 6004960, 6017834, 12874
497, 6004970, 6017847, 12877
498, 6004980, 6017860, 12880
499, 6004990, 6017874, 12884
500, 6005000, 6017900, 12900
501, 6005010, 6017913, 12903
502, 6005020, 6017927, 12907
503, 6005030, 6017940, 12910
504, 6005040, 6017953, 12913
505, 6005050, 6017966, 12916
506, 6005060, 6017979, 12919
507, 6005070, 6017993, 12923
508, 6005080, 6018006, 12926
509, 6005090, 6018019, 12929
510, 6005100, 6018032, 12932
511, 6005110, 6018045, 12935
512, 6005120, 6018059, 12939
513, 6005130, 6018072, 12942
514, 6005140, 6018085, 12945
515, 6005150, 6018098, 12948
516, 6005160, 6018111, 12951
517, 6005170, 6018125, 12955
518, 6005180, 6018138, 12958
519, 6005190, 6018151, 12961
520, 6005200, 6018164, 12964
521, 6005210, 6018177, 12967
522, 6005220, 6018191, 12971
523, 6005230, 6018204, 12974
524, 6005240, 6018217, 12977
525, 6005250, 6018230, 12980
526, 6005260, 6018243, 12983
527, 6005270, 6018257, 12987
528, 6005280, 6018270, 12990
529, 6005290, 6018283, 12993
530, 6005300, 6018296, 12996
531, 6005310, 6018309, 12999
532, 6005320, 6018323, 13003
533, 6005330, 6018336, 13006
534, 6005340, 6018349, 13009
535, 6005350, 6018362, 13012
536, 6005360, 6018375, 13015
537, 6005370, 6018389, 13019
538, 6005380, 6018402, 13022
539, 6005390, 6018415, 13025
540, 6005400, 6018428, 13028
541, 6005410, 6018441, 13031
542, 6005420, 6022012, 16592
543, 6005430, 6022025, 16595
544, 6005440, 6022038, 16598
545, 6005450, 6022051, 16601
546, 6005460, 6022065, 16605
547, 6005470, 6022078, 16608
548, 6005480, 6022091, 16611
549, 6005490, 6022104, 16614
550, 6005500, 6022131, 16631
551, 6005510, 6022144, 16634
552, 6005520, 6022157, 16637
553, 6005530, 6022170, 16640
554, 6005540, 6022184, 16644
555, 6005550, 6022197, 16647
556, 6005560, 6022210, 16650
557, 6005570, 6022223, 16653
558, 6005580, 6022236, 16656
559, 6005590, 6022250, 16660
560, 6005600, 6022263, 16663
561, 6005610, 6022276, 16666
562, 6005620, 6022289, 16669
563, 6005630, 6022302, 16672
564, 6005640, 6022316, 16676
565, 6005650, 6022329, 16679
566, 6005660, 6022342, 16682
567, 6005670, 6022355, 16685
568, 6005680, 6022368, 16688
569, 6005690, 6022382, 16692
570, 6005700, 6022395, 16695
571, 6005710, 6022408, 16698
572, 6005720, 6022421, 16701
573, 6005730, 6022434, 16704
574, 6005740, 6022448, 16708
575, 6005750, 6022461, 16711
576, 6005760, 6022474, 16714
577, 6005770, 6022487, 16717
578, 6005780, 6022500, 16720
579, 6005790, 6022514, 16724
580, 6005800, 6022527, 16727
581, 6005810, 6022540, 16730
582, 6005820, 6022553, 16733
583, 6005830, 6022566, 16736
584, 6005840, 6022580, 16740
585, 6005850, 6022593, 16743
586, 6005860, 6022606, 16746
587, 6005870, 6022619, 16749
588, 6005880, 6022632, 16752
589, 6005890, 6022646, 16756
590, 6005900, 6022659, 16759
591, 6005910, 6022672, 16762
592, 6005920, 6022685, 16765
593, 6005930, 6022698, 16768
594, 6005940, 6022712, 16772
595, 6005950, 6022725, 16775
596, 6005960, 6022738, 16778
597, 6005970, 6022751, 16781
598, 6005980, 6022764, 16784
599, 6005990, 6022778, 16788
600, 6006000, 6022804, 16804
601, 6006010, 6022818, 16808
602, 6006020, 6022831, 16811
603, 6006030, 6022844, 16814
604, 6006040, 6022857, 16817
605, 6006050, 6022870, 16820
606, 6006060, 6022884, 16824
607, 6006070, 6022897, 16827
608, 6006080, 6022910, 16830
609, 6006090, 6022923, 16833
610, 6006100, 6022936, 16836
611, 6006110, 6022950, 16840
